oid,barcode,brandCode,category,categoryCode,cpgoid,cpgref,name,topBrand
5a5d2727e4b0db471c2d042e,511111000167,THIRD SHIFT,Beer Wine Spirits,NULL,5332f709e4b03c9a25efd0f1,Cogs,Third Shift Brewing,NULL
5a5d247ae4b06ba572cf24a2,511111000235,SAINT ARCHER,Beer Wine Spirits,NULL,5332f709e4b03c9a25efd0f1,Cogs,Saint Archer,NULL
5a5d1bffe4b0db471c2d0423,511111000396,COORS EXTRA GOLD,Beer Wine Spirits,NULL,5332f709e4b03c9a25efd0f1,Cogs,Coors Extra Gold,NULL
5a5d17ede4b06ba572cf2498,511111000440,AUNT JEMIMA DRY BREAKFAST MIXES,Breakfast & Cereal,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,AUNT JEMIMA Dry Breakfast Mixes,0
5a4d23dae4b0bcb2c74ea77e,511111000518,CALEB'S KOLA,Beverages,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Caleb's Kola,0
592486bfe410d61fcea3d13d,511111000679,TIGI,Personal Care,NULL,5332f5f6e4b03c9a25efd0b4,Cogs,TIGI,0
592486bfe410d61fcea3d137,511111000723,PROMISE,Dairy,NULL,53e10d6368abd3c7065097cc,Cogs,PROMISE,NULL
592486bde410d61fcea3d126,511111000884,COUNTRY CROCK,Dairy,NULL,53e10d6368abd3c7065097cc,Cogs,COUNTRY CROCK,NULL
591b7682e4b0cddf4ebb6a6a,511111000952,STARBUCKS Bottled Drinks,Beverages,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Starbucks Ready-To-Drink Beverages,0
588ba198e4b02187f85cdae0,511111001041,HOFFMAN'S,Dairy,NULL,559c2234e4b06aca36af13c6,Cogs,Hoffman's,0
5887a372e4b02187f85cdad9,511111001119,DORITOS,Snacks,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Doritos,1
58861c7f4e8d0d20bc42c4fc,511111001270,,Snacks,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Quaker Popped Crisps,0
58861c7e4e8d0d20bc42c4f7,511111001324,MAUI STYLE,Snacks,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Maui Style Chips,NULL
585a972de4b03e62d1ce0e96,511111001485,TOSTITOS,Snacks,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Tostitos,NULL
585a96fbe4b03e62d1ce0e8e,511111001553,NULL,NULL,NULL,53e10d6368abd3c7065097cc,Cpgs,Sabra,NULL
585a96d2e4b03e62d1ce0e89,511111001607,,Beverages,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Pepsi Diet,0
585a963ce4b03e62d1ce0e78,511111001768,CHEETOS,Snacks,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Cheetos,1
580dffade4b0f32b2de21384,511111001836,YUBAN,Beverages,NULL,559c2234e4b06aca36af13c6,Cogs,Yuban Coffee,0
57ebc188e4b0ac389136a343,511111001997,MC CAFE,Beverages,NULL,559c2234e4b06aca36af13c6,Cogs,McCafÃ©,0
57ebc02be4b0ac389136a339,511111002086,KOOL-AID,Beverages,NULL,559c2234e4b06aca36af13c6,Cogs,Kool-Aid,0
57ebbfafe4b0ac389136a332,511111002154,GOOD SEASONS,Condiments & Sauces,NULL,559c2234e4b06aca36af13c6,Cogs,Good Seasons,0
57ebbd44e4b0ac389136a32d,511111002208,BULL'S-EYE,Condiments & Sauces,NULL,559c2234e4b06aca36af13c6,Cogs,Bull's Eye,0
57d95805e4b0ac389136a2b5,511111002369,COUNTRY TIME,Beverages,NULL,559c2234e4b06aca36af13c6,Cogs,Country Time,0
57c0829ce4b0718ff5fcb03a,511111002437,NULL,NULL,NULL,5332f7a7e4b03c9a25efd134,Cpgs,Victoria,NULL
55b630f5e4b0d8e685c14222,511111002598,NULL,NULL,NULL,55b62995e4b0d8e685c14213,Cogs,Diet Rite,NULL
55b630c2e4b0d8e685c1421d,511111002642,NULL,NULL,NULL,55b62995e4b0d8e685c14213,Cpgs,RC Cola,NULL
55a41a9de4b0d0a65b3692ed,511111002710,NULL,NULL,NULL,55a41a91e4b0d0a65b3692ec,Cpgs,RPs,NULL
5332fa84e4b03c9a25efd232,511111002871,NULL,NULL,NULL,5332f5ebe4b03c9a25efd0a8,Cpgs,Powerade Zero,NULL
5332fa7ce4b03c9a25efd22d,511111002925,NULL,NULL,NULL,5332f5ebe4b03c9a25efd0a8,Cpgs,Diet Coke Lime,NULL
5332fa74e4b03c9a25efd21e,511111003038,NULL,NULL,NULL,5332f5ebe4b03c9a25efd0a8,Cpgs,Sprite,NULL
5332f9fce4b03c9a25efd1cd,511111003199,NULL,NULL,NULL,5332f5f2e4b03c9a25efd0aa,Cpgs,Honey Smacks,NULL
5332f9f2e4b03c9a25efd1c7,511111003243,NULL,NULL,NULL,5332f5f2e4b03c9a25efd0aa,Cpgs,All-Bran,NULL
5332f802e4b03c9a25efd16d,511111003311,NULL,NULL,NULL,5332f7ffe4b03c9a25efd16b,Cpgs,Light & Fit,NULL
5332f7afe4b03c9a25efd13e,511111003472,NULL,NULL,NULL,5332f7a7e4b03c9a25efd134,Cpgs,Bud Light Lime,NULL
5332f7aae4b03c9a25efd139,511111003526,NULL,NULL,NULL,5332f7a7e4b03c9a25efd134,Cpgs,Busch,NULL
5332f765e4b03c9a25efd120,511111003687,NULL,NULL,NULL,5332f5ebe4b03c9a25efd0a8,Cpgs,Glaceau fruitwater,NULL
5332f754e4b03c9a25efd112,511111003755,NULL,NULL,NULL,5332f5ebe4b03c9a25efd0a8,Cpgs,Fuze,NULL
5332f734e4b03c9a25efd103,511111003809,NULL,NULL,NULL,5332f734e4b03c9a25efd104,Cpgs,Johnsonville,NULL
5332f5fbe4b03c9a25efd0bb,511111003960,MOUNTAIN DEW,Beverages,NULL,5332f5fbe4b03c9a25efd0ba,Cogs,Mountain Dew,0
5a8c2e5ee4b0ccf165fac9e1,511111004073,BISCA,Snacks,NULL,5a734034e4b0d58f376be874,Cogs,Bisca,0
5a8c3226e4b07f0a2dac8942,511111004127,V8,Beverages,NULL,5a734034e4b0d58f376be874,Cogs,V8,0
5aa1b5b9e4b05a92fc9b1631,511111004288,FOOD NETWORK KITCHEN INSPIRATIONS,Condiments & Sauces,NULL,559c2234e4b06aca36af13c6,Cogs,FOOD NETWORK KITCHEN INSPIRATIONS,0
5ab152fae4b0be0a89bb0b05,511111004356,1915 BOLTHOUSE FARMS,Grocery,NULL,5a734034e4b0d58f376be874,Cogs,1915 Bolthouse Farms,0
5ab154eae4b0915382df7620,511111004400,"CAMPBELLS DINNER SAUCES ",Condiments & Sauces,NULL,5a734034e4b0d58f376be874,Cogs,Campbell's Dinner Sauces,0
5afda65de4b0c11cfecd49fb,511111004561,SNYDERS OF HANOVER,Snacks,NULL,5a734034e4b0d58f376be874,Cogs,SNYDERS OF HANOVER,0
5bd200c690fa074576779a16,511111004639,DEPEND,Personal Care,PERSONAL_CARE,550b2565e4b001d5e9e4146f,Cogs,Depend,0
5d2f68d96d5f3b107e208da4,511111004844,THE RIGHT TO SHOWER,Personal Care,NULL,5332f5f6e4b03c9a25efd0b4,Cogs,THE RIGHT TO SHOWER,NULL
5d601d74a3a018514994f422,511111004912,CALEBS KOLA,Snacks,NULL,53e10d6368abd3c7065097cc,Cogs,Caleb's Kola,NULL
5d6419346d5f3b23d1bc790e,511111005094,PARENTS,Magazines,NULL,5d5d4fd16d5f3b23d1bc7905,Cogs,Parents,NULL
5d642dbfa3a018514994f42e,511111005148,511111005148,Magazines,NULL,5d5d4fd16d5f3b23d1bc7905,Cogs,Shape,NULL
5d658ff3a3a018514994f432,511111005216,511111005216,Magazines,NULL,53e10d6368abd3c7065097cc,Cogs,Cooking Light Magazine,NULL
5d66da306d5f3b6188d4f04c,511111005377,511111005377,Magazines,NULL,5d5d4fd16d5f3b23d1bc7905,Cogs,Modern Farmhouse Magazine,NULL
5d66dda06d5f3b6188d4f050,511111005421,511111005421,Magazines,NULL,5d5d4fd16d5f3b23d1bc7905,Cogs,Pillsbury Magazine,NULL
5da605dc1dda2c3e1416ae83,511111005582,ALEVE,Health & Wellness,NULL,5d9b4f591dda2c6225a284aa,Cogs,AleveÂ®,NULL
5da6071ea60b87376833e34d,511111005650,ALKA SELTZER,Health & Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Cogs,Alka-SeltzerÂ®,NULL
5da607ef1dda2c3e1416ae89,511111005704,511111005704,Health & Wellness,NULL,53e10d6368abd3c7065097cc,Cogs,BayerÂ® ASPRIN TAB/ CAPS/ CHEWS,NULL
5daf2a6b1dda2c3e1416ae91,511111005865,PROTEIN ONE,Health & Wellness,NULL,5332f5f3e4b03c9a25efd0ae,Cogs,Protein Oneâ„¢,NULL
5daf35a8a60b87376833e35d,511111005933,NATURE VALLEY,Snacks,NULL,5332f5f3e4b03c9a25efd0ae,Cogs,Nature Valleyâ„¢,NULL
5daf59751dda2c3e1416ae99,511111006022,TRIX,Breakfast & Cereal,NULL,5332f5f3e4b03c9a25efd0ae,Cogs,Trixâ„¢,NULL
5db9e6551dda2c3e1416aea0,511111006183,FAT RABBIT,Frozen,NULL,559c2234e4b06aca36af13c6,Cogs,Fat Rabbit,NULL
5dc076e41dda2c0ad7da64ab,511111006251,APPLE CINNAMON CHEERIOS,Breakfast & Cereal,NULL,53e10d6368abd3c7065097cc,Cogs,Apple Cinnamon Cheeriosâ„¢,NULL
5dc07e2aa60b873d6b0666d1,511111006305,GENERAL MILLS CEREAL,NULL,NULL,53e10d6368abd3c7065097cc,Cogs,"General Mills ""Big G"" Cereal",NULL
5e3875d2ee7f2d697e835bce,511111013914,ESSIE,Beauty,NULL,5e28b81cee7f2d697e835bcd,Cogs,Essie,NULL
5ef3860fbe37ce02da95b72e,511111015024,CLOROX,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5eebc5412455c97a877ef382,Cogs,Clorox,NULL
5f208dafbe37ce7958c59522,511111015185,TEST BRANDCODE @1595968943012,Baking,BAKING,5f208daebe37ce7958c59520,Cogs,test brand @1595968943012,NULL
5f21c99dbe37ce7958c5952a,511111015253,WOOLITE,Cleaning & Home Improvement,CLEANING_AND_HOME_IMPROVEMENT,5f10c05cbe37ce238c6cabaf,Cogs,WOOLITEÂ®,NULL
5f358338be37ce443bf9d559,511111015307,TEST BRANDCODE @1597342520238,Baking,BAKING,5f358338be37ce443bf9d557,Cogs,test brand @1597342520238,NULL
5f385790be37ce5178517ad8,511111015468,TEST BRANDCODE @1597527952048,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1597527952048,NULL
5f3e9172be37ce5a0e01b953,511111015536,TEST BRANDCODE @1597935986248,Baking,BAKING,5f3e9172be37ce5a0e01b952,Cogs,test brand @1597935986247,NULL
5f403232be37ce5f78d9ed19,511111015697,TEST BRANDCODE @1598042674173,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1598042674173,NULL
5f43faabbe37ce3ef3fd3718,511111015741,TEST BRANDCODE @1598290603646,Baking,BAKING,5f43faabbe37ce3ef3fd3714,Cogs,test brand @1598290603646,NULL
5f441281be37ce5dbe9b7c82,511111015819,TEST BRANDCODE @1598296705444,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1598296705444,NULL
5f4936ddbe37ce52f8314fdc,511111015970,TEST BRANDCODE @1598633693744,Baking,BAKING,5f4936ddbe37ce52f8314fda,Cogs,test brand @1598633693744,NULL
5f493dacbe37ce64d0ae36bf,511111016069,TEST BRANDCODE @1598635436505,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1598635436505,NULL
5f494c5e04db711dd8fe87e3,511111016137,TEST BRANDCODE @1598639197926,Baking,BAKING,5f494c5d04db711dd8fe87e2,Cogs,test brand @1598639197925,NULL
5f4a7a5ebe37ce2d95e65ca4,511111016298,TEST BRANDCODE @1598716510157,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1598716510157,NULL
5f4bf556be37ce0b4491554c,511111016342,TEST BRANDCODE @1598813526686,Baking,BAKING,5f4bf556be37ce0b44915549,Cogs,test brand @1598813526686,NULL
5f4cff24a475f1050a66b56b,511111016410,TEST BRANDCODE @1598881572443,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1598881572443,NULL
5f590184be37ce21f1287c12,511111016571,NESTLE NAN,Baby,BABY,5f58fa84be37ce21f1287c0f,Cogs,Nestle NAN,NULL
5f5bc4f1be37ce17125ac0ec,511111016625,TEST BRANDCODE @1599849713825,Baking,BAKING,5f5bc4f1be37ce17125ac0e8,Cogs,test brand @1599849713825,NULL
5f772952be37ce6b592e90d3,511111016786,TEST BRANDCODE @1601644882019,Baking,BAKING,5f772951be37ce6b592e90d1,Cogs,test brand @1601644882019,NULL
5f7760f0be37ce1d26d7b7a6,511111016854,TEST BRANDCODE @1601659120870,Baking,BAKING,5f7760f0be37ce1d26d7b7a2,Cogs,test brand @1601659120870,NULL
5f7ba645be37ce23081c528c,511111016908,TEST BRANDCODE @1601939013444,Baking,BAKING,5f7ba644be37ce23081c5289,Cogs,test brand @1601939013444,NULL
5f872b7fbe37ce66db5dd977,511111017011,TEST BRANDCODE @1602694015481,Baking,BAKING,5f872b7fbe37ce66db5dd975,Cogs,test brand @1602694015481,NULL
5f99f720be37ce13da9eaded,511111017172,NULL,Baking,BAKING,5f99f720be37ce13da9eadec,Cogs,test brand @1603925792078,NULL
5fa1c567be37ce402c4618f3,511111017226,TEST BRANDCODE @1604437351678,Baking,BAKING,5fa1c567be37ce402c4618ef,Cogs,test brand @1604437351678,0
5fb6b695be37ce522e165cba,511111017387,"SARA LEE ",Grocery,GROCERY,5fb6b608be37ce522e165cb9,Cogs,Sara Lee,0
5fb7e52abe37ce522e165cc2,511111017455,"MUMM NAPA ",Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,Mumm NapaÂ®,0
5fb7f8febe37ce522e165cc7,511111017509,ABERLOUR,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,AberlourÂ®,0
5fb81796be37ce522e165cd7,511111017660,ABSOLUTÂ® JUICE APPLE,Beer Wine Spirits,BEER_WINE_SPIRITS,5fb6d381be37ce522e165cbd,Cogs,AbsolutÂ® Juice Apple,0
5fb821d1be37ce522e165cde,511111017738,BIMBO,Grocery,GROCERY,5fb6b608be37ce522e165cb9,Cogs,Bimbo,0
5fc54c0bbe37ce1911dbb3b5,511111017899,TEST BRANDCODE @1606765579244,Baking,BAKING,5fc54c0abe37ce1911dbb3b1,Cogs,test brand @1606765579244,0
5fcda494be37ce688e08b0cd,511111017943,TEST BRANDCODE @1607312532218,Baking,BAKING,5fcda494be37ce688e08b0cb,Cogs,test brand @1607312532218,0
5fd29590be37ce38bbbefb26,511111018056,TEST BRANDCODE @1607636368136,Baking,BAKING,5fd29590be37ce38bbbefb25,Cogs,test brand @1607636368135,0
5fd29591be37ce38bbbefb2c,511111018100,NULL,Baking,BAKING,5fd29591be37ce38bbbefb2b,Cogs,test brand @1607636369580,0
5fd3ae1fbe37ce0d9386bb58,511111018261,TEST BRANDCODE @1607708191197,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,Cogs,test brand @1607708191197,0
5fd7f2b4be37ce733975586d,511111018339,TEST BRANDCODE @1607987892541,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1607987892540,0
5fdce9e9be37ce5fa8ba59d8,511111018490,TEST BRANDCODE @1608313321222,Baking,BAKING,5fdce9e9be37ce5fa8ba59d6,Cogs,test brand @1608313321222,0
5ff3842bbe37ce2c56dacbae,511111018544,TEST BRANDCODE @1609794603237,Baking,BAKING,5ff3842bbe37ce2c56dacbad,Cogs,test brand @1609794603236,0
5ff73cf9be37ce1e961f3259,511111018612,TEST BRANDCODE @1610038521624,Baking,BAKING,5ff73cf9be37ce1e961f3256,Cogs,test brand @1610038521624,0
5ff75cdebe37ce1e961f328b,511111018773,NULL,Baking,BAKING,5ff75cdebe37ce1e961f328a,Cogs,test brand @1610046686560,0
5ff75cdfbe37ce1e961f3291,511111018827,TEST BRANDCODE @1610046687624,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,test brand @1610046687624,0
5ff78071be37ce6a424ca0ea,511111018988,TEST BRANDCODE @1610055793500,Baking,BAKING,5ff78071be37ce6a424ca0e7,Cogs,test brand @1610055793500,0
5ff8b5fbbe37ce4a13986610,511111019091,TEST BRANDCODE @1610135035614,Baking,BAKING,5ff8b5fbbe37ce4a1398660d,Cogs,test brand @1610135035614,0
5ffe2ca0be37ce5e01754c0b,511111019145,TEST BRANDCODE @1610493088421,Baking,BAKING,5ffe2ca0be37ce5e01754c09,Cogs,test brand @1610493088421,0
5ffe2e38be37ce5e01754c23,511111019213,TEST BRANDCODE @1610493496975,Baking,BAKING,5ffe2e38be37ce5e01754c21,Cogs,test brand @1610493496975,0
5ffe35eabe37ce5e01754c46,511111019374,TEST BRANDCODE @1610495466175,Baking,BAKING,5ffe35eabe37ce5e01754c45,Cogs,test brand @1610495466174,0
5ffe35f9be37ce5e01754c4c,511111019428,NULL,Baking,BAKING,5ffe35f9be37ce5e01754c4b,Cogs,test brand @1610495481412,0
