oid,bonusPointsEarned,bonusPointsEarnedReason,totalPointsEarned,purchasedItemCount,item,barcode,brandCode,competitorRewardsGroup,description,discountedItemPrice,finalPrice,itemPrice,metabriteCampaignId,needsFetchReview,originalReceiptItemText,partnerItemId,pointsEarned,pointsNotAwardedReason,pointsPayerId,preventTargetGapPoints,quantityPurchased,rewardsGroup,rewardsProductPartnerId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,rewardsReceiptStatus,totalSpent,userId,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,5,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,26.00,26.00,NULL,false,NULL,1,NULL,NULL,NULL,true,5,NULL,NULL,4011,true,26.00,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,11,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150,2,1,028400642255,DORITOS,NULL,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,10.00,10.00,NULL,true,NULL,2,NULL,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,true,1,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,028400642255,true,10.00,1,FINISHED,11,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,5,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,false,NULL,1,NULL,NULL,NULL,true,NULL,NULL,NULL,4011,true,26.00,3,REJECTED,10,5ff1e1f1cfcf6c399c274b0b,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-01-03
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,5,4,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,28.00,28.00,NULL,false,NULL,1,NULL,NULL,NULL,true,4,NULL,NULL,4011,true,28.00,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,5,2,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,5,2,1,1234,NULL,NULL,NULL,NULL,2.56,2.56,NULL,true,NULL,2,NULL,NULL,NULL,true,3,NULL,NULL,1234,true,2.56,3,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,0,4011,DORITOS,NULL,ITEM NOT FOUND,NULL,3.25,3.25,NULL,false,NULL,1,NULL,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,true,1,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,4011,NULL,NULL,NULL,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,5,1,0,NULL,MISSION,TACO BELL TACO SHELLS,MSSN TORTLLA,2.23,2.23,2.23,NULL,NULL,MSSN TORTLLA,1009,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500,1,0,046000832517,BRAND,NULL,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",NULL,10.00,10.00,NULL,NULL,NULL,0,NULL,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,NULL,1,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,NULL,NULL,NULL,NULL,FINISHED,10,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2020-12-27
